可靠性因子,太空电梯单港口容量（吨/年）,火箭总容量（吨/年）,太空电梯运输时间（年）,火箭运输时间（年）
0.5,85259.07221569546,27423.70412016403,390.96523650883637,3646.4804156952764
0.55,99256.58211017994,36042.15120891484,335.8299532854316,2774.5291733659205
0.6,106370.42879371172,36602.03880392513,313.3703014206886,2732.088246113662
0.65,108865.2111126613,36160.12323067474,306.1890294672526,2765.477301116322
0.7,119463.81787226176,42834.42404460697,279.0245107432899,2334.5709025026663
0.75,131302.9513811391,43586.409865013484,253.86583456585933,2294.2931136034977
0.8,137789.7225746979,48763.65733511652,241.91451082473029,2050.707544612046
0.8500000000000001,155549.74079304666,55058.24951819295,214.2937247171767,1816.2582514897592
0.9,154788.82944824622,50769.34462825952,215.34715038644543,1969.692552311133
0.95,164364.39496115668,55271.079832583986,202.80142388021937,1809.2644526377962
1.0,170332.8948153777,46517.8258164883,195.69522005401853,2149.7135398050973
