,w_E=0%,w_E=1%,w_E=2%,w_E=3%,w_E=4%,w_E=5%,w_E=6%,w_E=7%,w_E=8%,w_E=9%,w_E=10%,w_E=11%,w_E=12%,w_E=13%,w_E=14%,w_E=15%,w_E=16%,w_E=17%,w_E=18%,w_E=19%,w_E=20%,w_E=21%,w_E=22%,w_E=23%,w_E=24%,w_E=25%,w_E=26%,w_E=27%,w_E=28%,w_E=29%,w_E=30%,w_E=31%,w_E=32%,w_E=33%,w_E=34%,w_E=35%,w_E=36%,w_E=37%,w_E=38%,w_E=39%,w_E=40%,w_E=41%,w_E=42%,w_E=43%,w_E=44%,w_E=45%,w_E=46%,w_E=47%,w_E=48%,w_E=49%,w_E=50%
α=0%,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
α=1%,0.9871286620307423,0.9871719745653599,0.9872152870999776,0.9872585996345951,0.9873019121692127,0.9873452247038302,0.9873885372384479,0.9874318497730654,0.9874751623076832,0.9875184748423007,0.9875617873769184,0.9876050999115359,0.9876484124461534,0.9876917249807712,0.9877350375153886,0.9877783500500062,0.9878216625846239,0.9878649751192414,0.9879082876538591,0.9879516001884766,0.9879949127230944,0.9880382252577118,0.9880815377923293,0.9881248503269471,0.9881681628615646,0.9882114753961821,0.9882547879307999,0.9882981004654174,0.988341413000035,0.9883847255346524,0.98842803806927,0.9884713506038876,0.9885146631385052,0.9885579756731229,0.9886012882077404,0.988644600742358,0.9886879132769757,0.9887312258115932,0.988774538346211,0.9888178508808285,0.988861163415446,0.9889044759500637,0.9889477884846813,0.9889911010192989,0.9890344135539166,0.9890777260885342,0.9891210386231516,0.9891643511577692,0.9892076636923868,0.9892509762270043,0.9892942887616221
α=2%,0.974263851881191,0.9743503495792433,0.9744368472772954,0.9745233449753479,0.9746098426734001,0.9746963403714523,0.9747828380695045,0.9748693357675569,0.9749558334656091,0.9750423311636615,0.9751288288617137,0.975215326559766,0.9753018242578182,0.9753883219558706,0.9754748196539227,0.9755613173519749,0.9756478150500272,0.9757343127480794,0.9758208104461317,0.975907308144184,0.9759938058422363,0.9760803035402885,0.9761668012383408,0.976253298936393,0.9763397966344451,0.9764262943324976,0.9765127920305499,0.976599289728602,0.9766857874266544,0.9767722851247065,0.9768587828227588,0.9769452805208111,0.9770317782188633,0.9771182759169157,0.9772047736149678,0.9772912713130201,0.9773777690110725,0.9774642667091247,0.977550764407177,0.9776372621052292,0.9777237598032814,0.9778102575013338,0.977896755199386,0.9779832528974384,0.9780697505954905,0.9781562482935429,0.978242745991595,0.9783292436896474,0.9784157413876996,0.9785022390857518,0.978588736783804
α=3%,0.961405770933154,0.9615353231569361,0.9616648753807182,0.9617944276045005,0.9619239798282827,0.9620535320520649,0.962183084275847,0.9623126364996292,0.9624421887234116,0.9625717409471937,0.9627012931709757,0.9628308453947579,0.9629603976185402,0.9630899498423224,0.9632195020661045,0.9633490542898866,0.9634786065136688,0.963608158737451,0.9637377109612333,0.9638672631850154,0.9639968154087974,0.9641263676325796,0.9642559198563618,0.964385472080144,0.9645150243039262,0.9646445765277084,0.9647741287514906,0.9649036809752727,0.9650332331990549,0.9651627854228368,0.9652923376466191,0.9654218898704013,0.9655514420941835,0.9656809943179656,0.9658105465417477,0.96594009876553,0.9660696509893122,0.9661992032130944,0.9663287554368767,0.9664583076606588,0.9665878598844408,0.9667174121082232,0.9668469643320052,0.9669765165557874,0.9671060687795697,0.9672356210033518,0.967365173227134,0.9674947254509161,0.9676242776746983,0.9677538298984805,0.9678833821222625
α=4%,0.9485546285743431,0.948727101302666,0.948899574030989,0.9490720467593119,0.9492445194876349,0.9494169922159577,0.9495894649442806,0.9497619376726035,0.9499344104009265,0.9501068831292496,0.9502793558575724,0.9504518285858955,0.9506243013142182,0.9507967740425411,0.9509692467708641,0.951141719499187,0.95131419222751,0.951486664955833,0.9516591376841559,0.9518316104124789,0.9520040831408016,0.9521765558691246,0.9523490285974476,0.9525215013257705,0.9526939740540935,0.9528664467824164,0.9530389195107394,0.9532113922390624,0.9533838649673851,0.9535563376957081,0.953728810424031,0.9539012831523539,0.9540737558806769,0.9542462286089998,0.9544187013373228,0.9545911740656456,0.9547636467939685,0.9549361195222915,0.9551085922506145,0.9552810649789374,0.9554535377072604,0.9556260104355833,0.9557984831639064,0.9559709558922294,0.9561434286205521,0.956315901348875,0.956488374077198,0.9566608468055209,0.9568333195338439,0.9570057922621668,0.9571782649904896
α=5%,0.9357106425799774,0.935925898285942,0.9361411539919064,0.9363564096978708,0.9365716654038354,0.9367869211098,0.9370021768157647,0.9372174325217292,0.9374326882276938,0.9376479439336584,0.9378631996396228,0.9380784553455873,0.9382937110515519,0.9385089667575164,0.938724222463481,0.9389394781694456,0.9391547338754099,0.9393699895813745,0.9395852452873391,0.9398005009933037,0.9400157566992682,0.9402310124052327,0.9404462681111974,0.9406615238171618,0.9408767795231263,0.9410920352290909,0.9413072909350554,0.9415225466410201,0.9417378023469847,0.9419530580529492,0.9421683137589136,0.9423835694648781,0.9425988251708427,0.9428140808768073,0.9430293365827718,0.9432445922887362,0.943459847994701,0.9436751037006654,0.9438903594066299,0.9441056151125945,0.9443208708185591,0.9445361265245236,0.9447513822304882,0.9449666379364527,0.9451818936424173,0.9453971493483817,0.9456124050543464,0.9458276607603109,0.9460429164662754,0.9462581721722398,0.9464734278782044
α=6%,0.9228740395150532,0.9231319370382834,0.9233898345615137,0.9236477320847439,0.9239056296079742,0.9241635271312043,0.9244214246544347,0.9246793221776649,0.9249372197008952,0.9251951172241253,0.9254530147473556,0.9257109122705859,0.9259688097938161,0.9262267073170463,0.9264846048402765,0.9267425023635067,0.927000399886737,0.9272582974099672,0.9275161949331976,0.9277740924564278,0.9280319899796581,0.9282898875028883,0.9285477850261185,0.9288056825493489,0.929063580072579,0.9293214775958092,0.9295793751190395,0.9298372726422697,0.9300951701655,0.9303530676887302,0.9306109652119604,0.9308688627351906,0.9311267602584209,0.9313846577816511,0.9316425553048813,0.9319004528281116,0.9321583503513418,0.9324162478745721,0.9326741453978024,0.9329320429210327,0.933189940444263,0.9334478379674932,0.9337057354907234,0.9339636330139536,0.9342215305371839,0.9344794280604141,0.9347373255836443,0.9349952231068746,0.9352531206301048,0.935511018153335,0.9357689156765653
α=7%,0.910045055158487,0.9103454495715279,0.9106458439845688,0.9109462383976098,0.9112466328106507,0.9115470272236916,0.9118474216367326,0.9121478160497735,0.9124482104628145,0.9127486048758555,0.9130489992888964,0.9133493937019375,0.9136497881149783,0.9139501825280192,0.9142505769410603,0.9145509713541011,0.914851365767142,0.915151760180183,0.9154521545932239,0.9157525490062648,0.9160529434193059,0.9163533378323468,0.9166537322453877,0.9169541266584287,0.9172545210714697,0.9175549154845106,0.9178553098975515,0.9181557043105926,0.9184560987236335,0.9187564931366743,0.9190568875497152,0.9193572819627562,0.9196576763757971,0.9199580707888381,0.920258465201879,0.9205588596149199,0.920859254027961,0.921159648441002,0.9214600428540428,0.9217604372670838,0.9220608316801248,0.9223612260931656,0.9226616205062067,0.9229620149192477,0.9232624093322885,0.9235628037453295,0.9238631981583704,0.9241635925714113,0.9244639869844523,0.9247643813974932,0.9250647758105341
α=8%,0.8972239349504111,0.897566677418979,0.8979094198875467,0.8982521623561146,0.8985949048246825,0.8989376472932504,0.8992803897618182,0.8996231322303861,0.8999658746989541,0.900308617167522,0.9006513596360899,0.9009941021046576,0.9013368445732255,0.9016795870417934,0.9020223295103611,0.902365071978929,0.9027078144474969,0.9030505569160647,0.9033932993846326,0.9037360418532004,0.9040787843217685,0.9044215267903362,0.904764269258904,0.9051070117274719,0.9054497541960398,0.9057924966646076,0.9061352391331754,0.9064779816017433,0.9068207240703111,0.907163466538879,0.9075062090074469,0.9078489514760149,0.9081916939445824,0.9085344364131505,0.9088771788817183,0.9092199213502862,0.9095626638188541,0.9099054062874219,0.9102481487559898,0.9105908912245577,0.9109336336931255,0.9112763761616933,0.9116191186302613,0.9119618610988293,0.912304603567397,0.9126473460359649,0.9129900885045327,0.9133328309731006,0.9136755734416684,0.9140183159102362,0.914361058378804
α=9%,0.8844109344639743,0.8847958721007293,0.8851808097374844,0.885565747374239,0.8859506850109939,0.8863356226477489,0.8867205602845036,0.8871054979212587,0.8874904355580137,0.8878753731947685,0.8882603108315235,0.8886452484682783,0.8890301861050331,0.889415123741788,0.8898000613785431,0.8901849990152979,0.8905699366520528,0.8909548742888076,0.8913398119255626,0.8917247495623173,0.8921096871990724,0.8924946248358272,0.892879562472582,0.893264500109337,0.8936494377460918,0.8940343753828468,0.8944193130196018,0.8948042506563565,0.8951891882931116,0.8955741259298662,0.8959590635666212,0.8963440012033761,0.8967289388401309,0.8971138764768858,0.8974988141136407,0.8978837517503957,0.8982686893871505,0.8986536270239055,0.8990385646606605,0.8994235022974153,0.8998084399341701,0.9001933775709251,0.9005783152076801,0.9009632528444349,0.9013481904811897,0.9017331281179447,0.9021180657546994,0.9025030033914544,0.9028879410282094,0.9032728786649642,0.903657816301719
α=10%,0.8716063199030742,0.8720332956145656,0.8724602713260567,0.872887247037548,0.8733142227490394,0.8737411984605306,0.8741681741720219,0.8745951498835132,0.8750221255950045,0.8754491013064958,0.8758760770179871,0.8763030527294783,0.8767300284409696,0.8771570041524608,0.8775839798639522,0.8780109555754434,0.8784379312869346,0.8788649069984259,0.8792918827099172,0.8797188584214085,0.8801458341328998,0.880572809844391,0.8809997855558823,0.8814267612673736,0.8818537369788648,0.8822807126903562,0.8827076884018475,0.8831346641133386,0.88356163982483,0.8839886155363214,0.8844155912478125,0.8848425669593036,0.885269542670795,0.8856965183822862,0.8861234940937777,0.8865504698052689,0.8869774455167603,0.8874044212282515,0.8878313969397429,0.8882583726512341,0.8886853483627253,0.8891123240742167,0.8895392997857079,0.8899662754971992,0.8903932512086905,0.8908202269201818,0.8912472026316731,0.8916741783431643,0.8921011540546555,0.8925281297661468,0.8929551054776381
α=11%,0.8588103686275353,0.859279220953949,0.8597480732803626,0.8602169256067763,0.86068577793319,0.8611546302596037,0.8616234825860174,0.8620923349124311,0.8625611872388449,0.8630300395652586,0.8634988918916723,0.863967744218086,0.8644365965444997,0.8649054488709134,0.865374301197327,0.8658431535237406,0.8663120058501543,0.8667808581765679,0.8672497105029817,0.8677185628293953,0.868187415155809,0.8686562674822227,0.8691251198086363,0.8695939721350502,0.8700628244614639,0.8705316767878775,0.8710005291142912,0.8714693814407048,0.8719382337671187,0.8724070860935321,0.8728759384199458,0.8733447907463596,0.8738136430727733,0.874282495399187,0.8747513477256006,0.8752202000520144,0.875689052378428,0.8761579047048418,0.8766267570312554,0.8770956093576692,0.8775644616840828,0.8780333140104966,0.8785021663369101,0.8789710186633239,0.8794398709897375,0.8799087233161513,0.8803775756425649,0.8808464279689787,0.8813152802953923,0.8817841326218059,0.8822529849482197
α=12%,0.8460233697073285,0.8465339326546444,0.84704449560196,0.8475550585492758,0.8480656214965916,0.8485761844439074,0.8490867473912231,0.8495973103385388,0.8501078732858547,0.8506184362331705,0.8511289991804862,0.851639562127802,0.8521501250751178,0.8526606880224334,0.8531712509697491,0.8536818139170649,0.8541923768643807,0.8547029398116965,0.8552135027590121,0.8557240657063279,0.8562346286536436,0.8567451916009594,0.8572557545482752,0.857766317495591,0.8582768804429067,0.8587874433902224,0.8592980063375383,0.8598085692848539,0.8603191322321697,0.8608296951794854,0.861340258126801,0.8618508210741169,0.8623613840214327,0.8628719469687485,0.8633825099160642,0.86389307286338,0.8644036358106957,0.8649141987580116,0.8654247617053272,0.8659353246526431,0.8664458875999588,0.8669564505472747,0.8674670134945903,0.8679775764419061,0.8684881393892219,0.8689987023365375,0.8695092652838534,0.8700198282311691,0.8705303911784847,0.8710409541258006,0.8715515170731163
α=13%,0.8332456245075129,0.8337977273716547,0.8343498302357965,0.8349019330999381,0.83545403596408,0.8360061388282217,0.8365582416923634,0.8371103445565052,0.8376624474206471,0.8382145502847888,0.8387666531489306,0.8393187560130724,0.8398708588772141,0.8404229617413559,0.8409750646054976,0.8415271674696394,0.842079270333781,0.8426313731979229,0.8431834760620647,0.8437355789262064,0.8442876817903483,0.84483978465449,0.8453918875186317,0.8459439903827736,0.8464960932469151,0.847048196111057,0.8476002989751988,0.8481524018393405,0.8487045047034824,0.849256607567624,0.8498087104317658,0.8503608132959075,0.8509129161600493,0.851465019024191,0.8520171218883328,0.8525692247524745,0.8531213276166163,0.853673430480758,0.8542255333448999,0.8547776362090418,0.8553297390731835,0.8558818419373252,0.856433944801467,0.8569860476656088,0.8575381505297506,0.8580902533938923,0.8586423562580341,0.8591944591221758,0.8597465619863176,0.8602986648504592,0.8608507677146011
α=14%,0.8204774473056763,0.8210709144882159,0.8216643816707557,0.8222578488532953,0.8228513160358351,0.8234447832183747,0.8240382504009143,0.8246317175834541,0.8252251847659937,0.8258186519485334,0.8264121191310732,0.8270055863136128,0.8275990534961524,0.8281925206786921,0.8287859878612318,0.8293794550437714,0.8299729222263111,0.8305663894088509,0.8311598565913905,0.8317533237739303,0.8323467909564699,0.8329402581390095,0.8335337253215492,0.8341271925040887,0.8347206596866285,0.8353141268691682,0.8359075940517079,0.8365010612342476,0.8370945284167872,0.8376879955993268,0.8382814627818665,0.8388749299644063,0.8394683971469459,0.8400618643294855,0.8406553315120252,0.8412487986945648,0.8418422658771045,0.8424357330596441,0.8430292002421839,0.8436226674247236,0.8442161346072632,0.844809601789803,0.8454030689723426,0.8459965361548824,0.8465900033374221,0.8471834705199617,0.8477769377025013,0.848370404885041,0.8489638720675807,0.8495573392501203,0.85015080643266
α=15%,0.8077191659437444,0.8083538167586916,0.808988467573639,0.8096231183885862,0.8102577692035335,0.8108924200184808,0.811527070833428,0.8121617216483753,0.8127963724633227,0.81343102327827,0.8140656740932173,0.8147003249081645,0.8153349757231118,0.815969626538059,0.8166042773530064,0.8172389281679536,0.8178735789829009,0.8185082297978481,0.8191428806127954,0.8197775314277428,0.8204121822426901,0.8210468330576373,0.8216814838725846,0.8223161346875318,0.8229507855024791,0.8235854363174262,0.8242200871323737,0.824854737947321,0.8254893887622683,0.8261240395772154,0.8267586903921627,0.82739334120711,0.8280279920220572,0.8286626428370045,0.8292972936519518,0.8299319444668991,0.8305665952818464,0.8312012460967937,0.831835896911741,0.8324705477266883,0.8331051985416356,0.8337398493565829,0.8343745001715301,0.8350091509864774,0.8356438018014246,0.8362784526163719,0.8369131034313191,0.8375477542462666,0.8381824050612137,0.838817055876161,0.8394517066911082
